,Total_outstanding_balance__mortg,Public_info_CCJ_ban,Public_info_CCJ_value,Time_since_most_recent_Public_In,CAIS_8_9_total,Status_3s_L6m,Years_on_ER_for_SP,Total___outstanding_CCJ_s,Total_outstanding_balance___excl,Total___of_accounts,Time_since_most_recent_outstandi
4235,0,0,0,99,0,0,9,0,1,5,99
4236,164,0,0,99,0,0,3,0,99,5,99
4237,132,0,0,99,0,0,0,0,2,3,99
4238,0,0,0,99,0,0,7,0,36,4,99
4239,0,0,0,99,0,0,3,0,89,9,99
4240,54,0,0,99,0,0,17,0,81,6,99
4241,0,0,0,99,0,0,10,0,111,8,99
4242,63,0,0,99,13,0,5,0,178,9,99
4243,0,1,3,65,1,2,11,1,48,8,65
4244,0,0,0,99,0,0,13,0,237,9,99
4245,0,0,0,99,3,0,13,0,1,2,99
4246,0,0,0,99,0,0,31,0,260,9,99
4247,85,0,0,99,0,0,12,0,407,9,99
4248,0,0,0,99,10,0,2,0,20,6,99
4249,51,1,2,40,0,0,10,1,204,9,40
4250,84,1,10,49,37,0,3,1,500,9,49
4251,215,0,0,99,0,0,3,0,203,9,99
4252,178,0,0,99,6,0,0,0,281,9,99
4253,0,0,0,99,23,0,0,0,34,5,99
4254,193,0,0,99,0,0,11,0,143,9,99
4255,51,2,11,9,0,0,17,1,1,3,9
4256,59,0,0,99,0,0,1,0,56,9,99
4257,125,0,0,99,0,0,2,0,181,8,99
4258,108,0,0,99,0,3,0,0,35,8,99
4259,0,0,0,99,295,7,4,0,63,8,99
4260,0,0,0,99,0,0,23,0,108,9,99
4261,81,0,0,99,21,0,13,0,26,3,99
4262,125,0,0,99,29,0,8,0,49,4,99
4263,90,0,0,99,4,0,6,0,1,7,99
4264,0,0,0,99,0,0,0,0,1,4,99
4265,128,0,0,99,9,0,0,0,110,8,99
4266,132,0,0,99,0,0,9,0,75,8,99
4267,0,0,0,99,112,0,18,0,239,5,99
4268,49,0,0,99,0,0,5,0,58,9,99
4269,138,0,0,99,0,0,7,0,823,9,99
4270,183,0,0,99,0,0,10,0,701,9,99
4271,53,0,0,99,0,0,1,0,596,9,99
4272,0,1,4,5,8,0,3,1,93,1,5
4273,0,0,0,99,0,0,0,0,0,0,99
4274,117,0,0,99,0,6,1,0,69,6,99
4275,0,0,0,99,2,0,5,0,79,3,99
4276,107,0,0,99,0,1,2,0,106,8,99
4277,0,0,0,99,18,0,3,0,3,5,99
4278,182,1,3,18,10,0,10,0,220,9,99
4279,131,2,4,14,52,0,11,1,81,6,14
4280,68,0,0,99,0,0,7,0,157,9,99
4281,155,0,0,99,0,0,2,0,548,9,99
4282,224,0,0,99,84,6,5,0,0,1,99
4283,246,0,0,99,0,2,1,0,301,6,99
4284,0,0,0,99,0,0,2,0,105,5,99
4285,0,2,199,17,999,0,0,2,110,6,17
4286,0,0,0,99,11,0,1,0,25,1,99
4287,114,0,0,99,0,0,14,0,25,4,99
4288,86,0,0,99,0,1,9,0,1,7,99
4289,0,0,0,99,0,0,25,0,196,7,99
4290,0,2,33,67,144,1,20,2,232,5,67
4291,0,3,6,24,17,0,8,1,1,1,58
4292,0,7,341,2,898,9,7,7,239,5,2
4293,0,2,24,22,63,0,0,2,101,1,22
4294,130,0,0,99,0,0,2,0,206,8,99
4295,0,0,0,99,0,0,5,0,194,4,99
4296,0,0,0,99,0,0,3,0,138,6,99
4297,0,0,0,99,0,0,0,0,16,3,99
4298,113,0,0,99,15,5,30,0,228,9,99
4299,163,0,0,99,0,0,0,0,434,7,99
4300,0,0,0,99,0,0,2,0,3,2,99
4301,0,0,0,99,0,0,0,0,171,5,99
4302,0,0,0,99,0,0,7,0,538,3,99
4303,0,0,0,99,0,0,2,0,159,7,99
4304,522,0,0,99,0,0,1,0,53,3,99
4305,108,0,0,99,0,0,1,0,263,9,99
4306,107,0,0,99,0,0,0,0,196,7,99
4307,111,1,4,18,54,0,0,1,97,2,18
4308,0,0,0,99,4,0,1,0,93,5,99
4309,77,0,0,99,0,0,9,0,195,9,99
4310,130,3,21,34,2,0,0,3,12,6,34
4311,100,0,0,99,0,0,1,0,112,9,99
4312,0,0,0,99,0,0,1,0,20,4,99
4313,0,0,0,99,0,0,5,0,24,1,99
4314,96,0,0,99,14,0,0,0,14,4,99
4315,0,0,0,99,90,0,10,0,193,5,99
4316,0,0,0,99,0,0,3,0,86,3,99
4317,85,0,0,99,0,1,3,0,40,9,99
4318,0,0,0,99,0,0,0,0,60,4,99
4319,0,0,0,99,14,0,0,0,115,5,99
4320,180,0,0,99,0,0,6,0,95,5,99
4321,92,0,0,99,0,0,5,0,190,9,99
4322,0,0,0,99,0,0,9,0,381,5,99
4323,112,0,0,99,0,0,26,0,339,8,99
4324,111,0,0,99,0,0,0,0,0,1,99
4325,80,0,0,99,30,0,5,0,37,9,99
4326,0,0,0,99,51,0,13,0,78,5,99
4327,59,0,0,99,0,0,6,0,54,8,99
4328,0,0,0,99,0,0,0,0,95,6,99
4329,46,1,3,66,6,0,0,1,55,3,66
4330,61,0,0,99,19,5,1,0,149,5,99
4331,0,0,0,99,0,0,3,0,38,4,99
4332,5,0,0,99,0,0,2,0,96,6,99
4333,80,0,0,99,0,0,3,0,195,9,99
4334,0,0,0,99,0,0,0,0,41,3,99
4335,76,0,0,99,122,0,6,0,1,2,99
4336,0,0,0,99,0,0,9,0,238,6,99
4337,0,0,0,99,33,0,3,0,100,7,99
4338,71,0,0,99,0,0,8,0,59,6,99
4339,105,0,0,99,1,0,4,0,81,6,99
4340,103,0,0,99,0,0,17,0,233,6,99
4341,126,0,0,99,0,0,15,0,108,9,99
4342,27,1,6,30,18,0,3,0,81,6,99
4343,110,0,0,99,1,0,0,0,163,9,99
4344,0,0,0,99,0,0,1,0,322,4,99
4345,102,0,0,99,6,1,8,0,134,9,99
4346,0,0,0,99,0,2,0,0,45,1,99
4347,217,1,2,25,8,0,0,1,39,9,25
4348,0,0,0,99,0,0,13,0,57,2,99
4349,0,0,0,99,0,0,0,0,40,9,99
4350,96,1,31,14,29,0,18,1,35,9,14
4351,40,0,0,99,0,0,18,0,182,9,99
4352,199,1,4,24,21,2,0,0,201,6,99
4353,0,0,0,99,1,0,20,0,176,9,99
4354,0,1,6,24,1,0,2,1,86,5,24
4355,84,1,4,61,24,2,13,1,4,2,61
4356,0,0,0,99,0,0,7,0,73,1,99
4357,51,0,0,99,0,0,18,0,74,3,99
4358,0,0,0,99,0,0,14,0,84,4,99
4359,0,0,0,99,0,0,6,0,381,3,99
4360,0,0,0,99,17,0,0,0,26,2,99
4361,81,0,0,99,0,0,12,0,10,5,99
4362,56,0,0,99,13,0,1,0,17,2,99
4363,0,0,0,99,0,0,10,0,189,4,99
4364,0,0,0,99,0,0,0,0,252,5,99
4365,0,1,7,71,2,0,9,0,127,4,99
4366,0,0,0,99,0,0,9,0,26,3,99
4367,0,0,0,99,12,0,10,0,11,2,99
4368,38,0,0,99,0,0,5,0,42,9,99
4369,0,2,58,37,10,1,23,2,67,3,37
4370,0,0,0,99,0,0,0,0,30,2,99
4371,0,0,0,99,0,0,1,0,288,7,99
